04-04-2026 15:49:18.175,-,API2," COORD,0013A200425E8FD9,Digi XBee3 Zigbee 3.0,1014,usbserial-B0025YU5 - 9600/8/N/1/N,0,65"
04-04-2026 15:47:02.462,70,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:47:08.738,71,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:47:10.334,72,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:47:11.937,73,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:47:13.550,74,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:47:20.145,75,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:47:21.748,76,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:47:23.359,77,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:47:29.938,78,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:47:31.546,79,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:47:33.168,80,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:47:39.744,81,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:47:41.344,82,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:47:42.945,83,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:47:49.557,84,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:47:51.150,85,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:47:52.755,86,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:47:59.340,87,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:48:00.959,88,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:48:02.544,89,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:48:08.735,90,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:48:10.371,91,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:48:11.967,92,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:48:13.552,93,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
04-04-2026 15:48:20.158,94,RECV,7E004690007D33A200425E91221BFE01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A36365D
