04-15-2026 20:02:12.671,-,API2," COORD,0013A200425E8FD9,Digi XBee3 Zigbee 3.0,1014,usbserial-B0025YU5 - 9600/8/N/1/N,0,65"
04-15-2026 19:35:30.570,599,RECV,7E004690007D33A200425E9122E86501244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363629
04-15-2026 19:35:30.937,600,RECV,7E00028A0372
04-15-2026 19:35:32.339,601,RECV,7E00028A066F
04-15-2026 19:35:32.339,602,RECV,7E00028A4332
04-15-2026 19:35:51.232,603,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:35:52.832,604,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:35:54.434,605,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:36:01.017,606,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:36:02.588,607,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:36:04.168,608,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:36:10.492,609,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:36:12.110,610,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:36:13.693,611,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:36:15.276,612,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:36:21.871,613,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:36:23.493,614,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:36:25.108,615,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:36:31.671,616,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:36:33.282,617,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:36:34.902,618,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:36:41.482,619,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:36:43.080,620,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
04-15-2026 19:36:44.703,621,RECV,7E004690007D33A200425E9122E1A001244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A3636F5
